Caddo, 34.5692, -87.1400
Caffee Junction, 33.2453, -87.1378
Cahaba, 32.3167, -87.1014
Cahaba Crest, 33.6300, -86.5989
Cahaba Heights, 33.4639, -86.7319
Cahaba Hills, 33.5389, -86.5742
Cahaba Mall, 33.4667, -86.7500
Cahaba Regional Mental Health Center, 32.4289, -87.0544
Cahaba River Estates, 33.3547, -86.8261
Cain Landing, 34.5500, -86.8014
Cairo, 34.8706, -87.1444
Calcis, 33.4264, -86.4317
Caldwell, 33.8122, -86.3644
Calebee, 32.3853, -85.8844
Caledonia, 31.8903, -87.0875
Calera, 33.1028, -86.7536
Calhoun, 32.0500, -86.5450
Calumer, 33.7947, -87.2869
Calvary, 32.2253, -87.7931
Calvert, 31.1550, -88.0100
Camden, 31.9908, -87.2906
Camelot, 34.6269, -86.5314
Cameron, 33.7958, -87.2717
Cameronsville, 34.8706, -85.7456
Camp Hill, 32.8003, -85.6536
Camp Horne, 33.4169, -86.7356
Camp Oliver, 33.7667, -87.3333
Campbell, 32.8925, -86.8467
Campbell, 31.9233, -87.9811
Campbell Mill, 34.4931, -86.2442
Campbell Springs, 33.3700, -85.8678
Campbells Crossroads, 33.3700, -85.8767
Campbells Landing, 31.9608, -88.0689
Campbellville, 33.8364, -87.0553
Canaan, 32.2047, -86.3036
Canoe, 31.0261, -87.4119
Cantelous, 32.3233, -86.4558
Canton Bend, 32.0000, -87.3000
Canty, 32.1633, -86.0831
Capell, 32.0000, -87.3000
Capital Heights, 32.3833, -86.2667
Capps, 31.4969, -85.3119
Capshaw, 34.7731, -86.7928
Capstone Medical Center, 33.2078, -87.5269
Carara, 33.3997, -86.0358
Carbon Hill, 33.8917, -87.5261
Card Switch, 34.8728, -85.8556
Cardiff, 33.6456, -86.9336
Carey, 34.8764, -86.9342
Carleys, 32.2669, -87.4914
Carlisle, 34.1289, -86.1203
Carlowville, 32.0869, -87.0342
Carlton, 31.3431, -87.8456
Carmen, 31.6322, -86.1892
Carney, 30.9272, -87.7192
Carns, 34.8092, -85.9742
Carolina, 31.2406, -86.5278
Carolyn, 32.3500, -86.2833
Carpenter, 30.8569, -87.8661
Carpenter, 31.5414, -88.2364
Carr Mill, 33.2053, -85.9439
Carraway Medical Center, 33.3703, -86.9922
Carriger, 34.8000, -86.9667
